Order_Date,Qty,Vendor,Location,Material_Num,Order_Type,DAYS
10/02/2019,46,114636,04,1220007,A,14
11/20/2018,41,114636,04,1220007,B,43
06/21/2019,15,114636,04,1220007,B,43
01/08/2020,14,114636,06,1220007,A,26
07/02/2019,16,114636,04,1220007,B,27
08/16/2019,7,114636,02,1220007,A,42
07/01/2019,28,114636,04,1220007,B,26
05/12/2020,61,114636,04,1220007,A,48
10/04/2019,52,114636,02,1220007,A,16
07/01/2020,26,114636,02,1220007,A,100
04/01/2020,12,114636,06,1220007,A,12
11/09/2018,28,114636,06,1220007,B,32
06/02/2020,34,114636,06,1220007,A,69
10/11/2019,9,158962,52,1220007,B,31
07/09/2019,43,114636,02,1220007,B,34
07/08/2019,3,114636,02,1220007,B,38
09/01/2020,26,114636,04,1220007,A,98
01/10/2020,45,114636,04,1220007,A,28
11/19/2018,50,114636,02,1220007,B,38
11/16/2018,24,158962,52,1220007,B,37
07/02/2020,26,114636,06,1220007,A,100
09/21/2020,14,114636,02,1220007,A,108
10/05/2020,16,114636,06,1220007,A,122
03/31/2020,14,114636,02,1220007,A,11
01/08/2020,49,114636,02,1220007,A,19
11/14/2018,42,114636,04,1220007,B,33
07/22/2019,10,114636,06,1220007,B,47
10/03/2019,15,114636,06,1220007,A,27
06/18/2019,8,158962,52,1220007,B,50
07/09/2020,26,114636,04,1220007,A,108
09/03/2020,7,114636,04,1220007,A,100
09/12/2019,10,114636,04,1220007,A,21
06/14/2019,8,114636,06,1220007,B,36
10/22/2019,15,114636,06,1220007,A,19
10/01/2019,38,114636,04,1220007,A,25
11/26/2018,35,114636,02,1220007,B,53
09/23/2019,26,114636,04,1220007,A,53
08/20/2019,13,114636,04,1220007,A,46
05/28/2020,26,114636,04,1220007,A,65
04/10/2019,3,114636,04,1220007,B,21
07/08/2019,15,114636,06,1220007,B,33
09/09/2019,16,114636,06,1220007,A,39
09/11/2019,3,114636,02,1220007,A,20
05/29/2020,26,114636,02,1220007,A,66
05/08/2020,55,114636,02,1220007,A,44
09/17/2019,2,114636,02,1220007,A,54
08/27/2020,4,114636,06,1220007,A,93
09/30/2020,11,114636,04,1220007,A,117
06/04/2019,20,114636,06,1220007,B,40
07/17/2019,1,114636,02,1220007,A,19
11/20/2018,10,114636,06,1220007,B,19
09/01/2020,23,114636,02,1220007,A,98
09/17/2019,6,114636,04,1220007,A,54
03/30/2020,7,114636,04,1220007,A,10
06/04/2019,27,114636,04,1220007,B,40
07/07/2020,26,114636,06,1220007,A,106
09/17/2019,24,114636,02,1220007,A,47
01/02/2020,28,114636,06,1220007,A,104
12/17/2018,31,114636,06,1220007,B,66
04/01/2020,29,114636,06,1220007,A,20
07/11/2019,4,114636,06,1220007,B,41
08/31/2020,6,114636,02,1220007,A,97
03/24/2020,9,114636,02,1220007,A,12
04/15/2019,5,114636,04,1220007,B,11
10/08/2019,29,114636,02,1220007,A,32
08/14/2019,12,114636,06,1220007,A,40
03/01/2019,6,158962,52,1220007,B,51
09/09/2020,16,114636,06,1220007,A,106
09/10/2019,15,114636,06,1220007,A,19
11/12/2018,21,114636,06,1220007,B,35
01/08/2020,1,114636,06,1260008,A,61
12/19/2019,4,114636,06,1260008,A,90
03/04/2019,1,114636,06,1260008,B,17
01/14/2019,10,114636,04,1260008,B,48
01/09/2020,12,114636,06,1260008,A,62
04/12/2019,4,114636,02,1260008,B,8
11/19/2019,11,114636,02,1260008,A,54
01/07/2020,4,114636,02,1260008,A,70
10/02/2019,2,114636,06,1260008,A,26
12/07/2018,2,114636,04,1260008,B,44
11/18/2019,10,114636,06,1260008,A,53
10/13/2020,12,114636,02,1260008,A,127
03/20/2020,24,114636,02,1260008,A,64
09/23/2019,6,114636,04,1260008,A,53
09/17/2019,6,114636,04,1260008,A,54
01/29/2020,4,114636,06,1260008,A,82
07/08/2019,1,114636,02,1260008,B,33
09/17/2019,2,114636,02,1260008,A,54
06/21/2019,2,114636,04,1260008,B,43
04/17/2019,10,114636,02,1260008,B,20
09/12/2019,1,114636,06,1260008,A,49
10/12/2020,17,114636,06,1260008,A,203
07/01/2020,16,114636,02,1260008,A,100
12/17/2018,4,114636,06,1260008,B,66
09/17/2020,13,114636,06,1260008,A,101
11/20/2018,28,114636,02,1260008,B,39
03/01/2019,10,114636,02,1260008,B,14
01/08/2020,4,114636,02,1260008,A,19
09/17/2019,4,114636,02,1260008,A,47
06/14/2019,7,114636,06,1260008,B,36
11/27/2018,14,114636,02,1260008,B,46
10/12/2020,16,114636,04,1260008,A,202
06/24/2019,11,114636,04,1260008,B,40
01/17/2020,15,114636,04,1260008,A,70
01/27/2020,26,114636,04,1260008,A,80
07/08/2019,2,114636,04,1260008,B,38
07/08/2019,8,114636,04,1260008,B,47
09/10/2019,5,114636,03,1260008,A,53
11/20/2019,1,114636,04,1260008,A,55
01/07/2020,17,114636,02,1260008,A,60
10/13/2020,16,114636,02,1260008,A,203
01/08/2020,4,114636,02,1260008,A,61
01/07/2020,3,114636,04,1260008,A,68
09/09/2019,6,114636,06,1260008,A,39
05/08/2019,4,114636,04,1260008,B,41
09/24/2020,8,114636,04,1260008,A,108
03/19/2019,10,114636,04,1260008,B,32
03/20/2019,4,114636,06,1260008,B,27
04/25/2019,6,114636,06,1260008,B,28
10/12/2020,17,114636,06,1260008,A,202
11/27/2018,3,114636,06,1260008,B,34
07/08/2019,9,114636,06,1260008,B,47
10/04/2019,3,114636,02,1260008,A,16
03/18/2019,1,114636,04,1260008,B,25
11/21/2018,7,114636,06,1260008,B,28
03/13/2019,1,114636,02,1260008,B,20
12/04/2018,9,114636,02,1260008,B,41
01/10/2020,1,114636,06,1260008,A,71
12/27/2019,6,114636,02,1260008,A,57
10/01/2019,13,114636,04,1260008,A,25
07/09/2020,16,114636,04,1260008,A,108
07/09/2019,2,114636,02,1260008,B,39
07/03/2019,9,114636,02,1260008,B,42
